"Amparo","Amp","SumaDePagos","Modelo","Color","Carroceria","MARCA","Referencia1","Referencia2","CLASE_FASECOLDA","TIPO_VEHICULO","SERVICIO","Sexo_Aseg","Edad","Desde","Hasta","Vr_Comercial","Pago"
NA,NA,NA,2012,"ROJO","HATCHBACK","HYUNDAI","ACCENT i25","1.6L","AUTOMOVIL","Livianos","Particular","M",35,"2012-06-20","2013-06-20",39190000,"No"
NA,NA,NA,2012,"PLATA","SEDAN","HYUNDAI","TUCSON IX 35","2.0L","CAMIONETA","Livianos","Particular","M",35,"2012-05-14","2013-05-14",56990500,"No"
NA,NA,NA,2011,"PLATA","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",42,"2012-10-23","2013-10-23",33800000,"No"
NA,NA,NA,2011,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",57,"2012-06-01","2013-06-01",28300000,"No"
NA,NA,NA,2006,"BLANCO","PANEL","HYUNDAI","STAREX [1]","PANEL GLS","CAMIONETA","Livianos","Publico",NA,999,"2011-05-11","2012-05-05",31400000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",6942314,2010,"AMARILLO","SEDAN","HYUNDAI","ACCENT VISION","GL","AUTOMOVIL","Livianos","Publico","M",60,"2011-03-04","2012-03-04",28600000,"S�"
NA,NA,NA,2007,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",22,"2012-04-30","2013-04-30",10900000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",2232785,2010,"NEGRO","SEDAN","HYUNDAI","ELANTRA SUPREME","GLS","AUTOMOVIL","Livianos","Particular","M",47,"2012-02-11","2013-02-11",0,"S�"
"PERDIDA PARCIAL POR DA�OS","PPD",0,2011,"NEGRO","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",0,"2011-07-01","2012-07-01",29400000,"No"
NA,NA,NA,2012,"GRIS","SEDAN","HYUNDAI","ACCENT i25","1.6L","AUTOMOVIL","Livianos","Particular","F",48,"2012-12-14","2013-12-14",0,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",5130797,2007,"PLATEADO","CABINADO","HYUNDAI","TUCSON","GL","CAMPERO","Livianos","Particular","M",43,"2012-08-11","2013-08-11",32500000,"S�"
NA,NA,NA,2009,"PLATA","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",0,"2012-07-31","2013-07-31",2.7e+07,"No"
NA,NA,NA,2009,"PLATA","CABINADO","HYUNDAI","TUCSON","GL CRDI","CAMIONETA","Livianos","Particular","M",0,"2012-08-27","2013-08-27",38800000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",1993871,2012,"PLATA","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL","Livianos","Particular","F",48,"2011-09-20","2012-09-20",19990000,"S�"
NA,NA,NA,2002,"AZUL","SEDAN","HYUNDAI","ACCENT VERNA","GL","AUTOMOVIL","Livianos","Particular","F",56,"2012-07-10","2013-07-10",11200000,"No"
NA,NA,NA,2012,"PLATA","SEDAN","HYUNDAI","SONATA i45","2.4L","AUTOMOVIL","Livianos","Particular","M",57,"2012-05-03","2013-05-03",65990000,"No"
NA,NA,NA,2010,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",49,"2011-12-31","2012-12-31",23200000,"No"
NA,NA,NA,2006,"AZUL","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",52,"2011-12-04","2012-12-04",14700000,"No"
NA,NA,NA,2010,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",41,"2011-06-23","2012-06-23",23200000,"No"
NA,NA,NA,2008,"AZUL","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",76,"2011-09-08","2012-09-08",18900000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",8277850,2005,"AMARILLO","METALICA","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",0,"2012-01-13","2012-11-01",8600000,"S�"
NA,NA,NA,2005,"PLATA","HATCHBACK","HYUNDAI","ATOS [1] [FL]","GL","AUTOMOVIL","Livianos","Particular",NA,0,"2012-07-14","2013-07-14",8600000,"No"
"GASTOS DE TRANSPORTE POR PERDIDA TOTAL","GT",19107564.45,2006,"UVA METALIZADO","SEDAN","HYUNDAI","ELANTRA FL","GLS","AUTOMOVIL","Livianos","Particular","M",53,"2011-07-01","2012-01-01",20700000,"S�"
NA,NA,NA,2013,"PLATA","HATCHBACK","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",21,"2011-12-23","2012-10-01",33690000,"No"
NA,NA,NA,2010,"NEGRO","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",0,"2011-03-12","2012-03-12",25200000,"No"
NA,NA,NA,2011,"AZUL","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",52,"2011-02-06","2012-02-06",23290000,"No"
NA,NA,NA,2011,"NEGRO","HATCHBACK","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",36,"2011-10-01","2012-10-01",27990000,"No"
NA,NA,NA,2010,"NEGRO","COUPE","HYUNDAI","GENESIS","COUPE","AUTOMOVIL","Livianos","Particular","M",36,"2012-03-30","2013-03-30",49800000,"No"
NA,NA,NA,2012,"BLANCO","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",44,"2011-06-17","2012-06-17",33500000,"No"
NA,NA,NA,2008,"PLATA","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",56,"2012-01-30","2013-01-30",20300000,"No"
NA,NA,NA,2011,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",32,"2012-10-21","2013-10-21",23700000,"No"
NA,NA,NA,2011,"GRIS","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",62,"2011-09-15","2012-09-15",2.6e+07,"No"
NA,NA,NA,2012,"GRIS","SEDAN","HYUNDAI","ACCENT i25","1.6L","AUTOMOVIL","Livianos","Particular","F",48,"2012-10-19","2013-10-19",0,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",1060462,2011,"BLANCO","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",36,"2011-10-21","2012-10-21",24500000,"S�"
NA,NA,NA,2010,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",42,"2012-12-20","2013-12-20",13800000,"No"
